id,timestamp,customer_id,message,issue_type,priority,agent_reply
sup_13,2025-09-29T12:22:08.632971,cust_844,cust_844: I have an issue: error on mobile app. Please help,error on mobile app,medium,"Try clearing app cache or reinstalling the app. If issue persists, send app version and logs."
sup_14,2025-08-18T12:22:08.632971,cust_3133,cust_3133: I have an issue: missing statement. Urgent,missing statement,low,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_15,2025-08-25T12:22:08.632971,cust_3128,cust_3128: I have an issue: missing statement. Need assistance,missing statement,high,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_16,2025-11-08T12:22:08.632971,cust_877,cust_877: I have an issue: error on mobile app. Please help,error on mobile app,low,"Try clearing app cache or reinstalling the app. If issue persists, send app version and logs."
sup_17,2025-10-27T12:22:08.632971,cust_1002,cust_1002: I have an issue: unable to trade. Urgent,unable to trade,medium,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_18,2025-09-30T12:22:08.632971,cust_4831,cust_4831: I have an issue: missing statement. Please help,missing statement,high,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_19,2025-10-15T12:22:08.632971,cust_3977,cust_3977: I have an issue: need KYC help. Please help,need KYC help,medium,"To complete KYC, upload ID and address proof. Visit Settings > KYC to upload documents."
sup_20,2025-08-22T12:22:08.632971,cust_3288,cust_3288: I have an issue: how to reset password. Urgent,how to reset password,high,"Please follow the reset link in the app or visit Account > Reset Password. If locked out, use 'Forgot password'."
sup_21,2025-08-29T12:22:08.632971,cust_3763,cust_3763: I have an issue: transaction failed. Thanks,transaction failed,low,"Please check error code and retry. If funds were debited, contact support with transaction id."
sup_22,2025-09-24T12:22:08.632971,cust_4518,cust_4518: I have an issue: deposit not credited. Need assistance,deposit not credited,low,"Deposits normally show within 1-3 business days. If delayed, send transaction reference and we will investigate."
sup_23,2025-09-28T12:22:08.632971,cust_4986,cust_4986: I have an issue: error on mobile app. Need assistance,error on mobile app,low,"Try clearing app cache or reinstalling the app. If issue persists, send app version and logs."
sup_24,2025-08-21T12:22:08.632971,cust_2136,cust_2136: I have an issue: how to reset password. Please help,how to reset password,high,"Please follow the reset link in the app or visit Account > Reset Password. If locked out, use 'Forgot password'."
sup_25,2025-10-12T12:22:08.632971,cust_2459,cust_2459: I have an issue: missing statement. Please help,missing statement,medium,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_26,2025-10-23T12:22:08.632971,cust_1735,cust_1735: I have an issue: missing statement. Please help,missing statement,low,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_27,2025-09-26T12:22:08.632971,cust_4479,cust_4479: I have an issue: error on mobile app. Need assistance,error on mobile app,medium,"Try clearing app cache or reinstalling the app. If issue persists, send app version and logs."
sup_28,2025-10-20T12:22:08.632971,cust_2066,cust_2066: I have an issue: deposit not credited. Thanks,deposit not credited,low,"Deposits normally show within 1-3 business days. If delayed, send transaction reference and we will investigate."
sup_29,2025-10-29T12:22:08.632971,cust_553,cust_553: I have an issue: error on mobile app. Need assistance,error on mobile app,low,"Try clearing app cache or reinstalling the app. If issue persists, send app version and logs."
sup_30,2025-08-31T12:22:08.632971,cust_726,cust_726: I have an issue: refund request. Thanks,refund request,medium,Refunds take 5-7 business days. Provide transaction id and reason for faster processing.
sup_31,2025-10-29T12:22:08.632971,cust_4560,cust_4560: I have an issue: transaction failed. Thanks,transaction failed,high,"Please check error code and retry. If funds were debited, contact support with transaction id."
sup_32,2025-10-27T12:22:08.632971,cust_3861,cust_3861: I have an issue: refund request. Need assistance,refund request,low,Refunds take 5-7 business days. Provide transaction id and reason for faster processing.
sup_33,2025-08-21T12:22:08.632971,cust_4953,cust_4953: I have an issue: how to change bank details. Urgent,how to change bank details,medium,Go to Payments > Bank details. Update and complete micro-deposit verification.
sup_34,2025-11-12T12:22:08.632971,cust_3591,cust_3591: I have an issue: deposit not credited. Urgent,deposit not credited,low,"Deposits normally show within 1-3 business days. If delayed, send transaction reference and we will investigate."
sup_35,2025-08-31T12:22:08.632971,cust_2342,cust_2342: I have an issue: transaction failed. Urgent,transaction failed,medium,"Please check error code and retry. If funds were debited, contact support with transaction id."
sup_36,2025-10-26T12:22:08.632971,cust_2528,cust_2528: I have an issue: error on mobile app. Please help,error on mobile app,high,"Try clearing app cache or reinstalling the app. If issue persists, send app version and logs."
sup_37,2025-10-24T12:22:08.632971,cust_1889,cust_1889: I have an issue: account locked. Please help,account locked,high,"We're sorry — your account is locked. Please provide last 4 digits of linked bank to verify, or contact support."
sup_38,2025-10-05T12:22:08.632971,cust_2836,cust_2836: I have an issue: error on mobile app. Thanks,error on mobile app,high,"Try clearing app cache or reinstalling the app. If issue persists, send app version and logs."
sup_39,2025-08-19T12:22:08.632971,cust_2993,cust_2993: I have an issue: refund request. Urgent,refund request,medium,Refunds take 5-7 business days. Provide transaction id and reason for faster processing.
sup_40,2025-09-19T12:22:08.632971,cust_3355,cust_3355: I have an issue: missing statement. Need assistance,missing statement,low,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_41,2025-09-24T12:22:08.632971,cust_1007,cust_1007: I have an issue: refund request. Need assistance,refund request,medium,Refunds take 5-7 business days. Provide transaction id and reason for faster processing.
sup_42,2025-08-25T12:22:08.632971,cust_27,cust_27: I have an issue: how to change bank details. Urgent,how to change bank details,low,Go to Payments > Bank details. Update and complete micro-deposit verification.
sup_43,2025-08-28T12:22:08.632971,cust_455,cust_455: I have an issue: missing statement. Thanks,missing statement,low,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_44,2025-10-26T12:22:08.632971,cust_1163,cust_1163: I have an issue: deposit not credited. Need assistance,deposit not credited,low,"Deposits normally show within 1-3 business days. If delayed, send transaction reference and we will investigate."
sup_45,2025-10-02T12:22:08.632971,cust_1170,cust_1170: I have an issue: unable to trade. Urgent,unable to trade,low,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_46,2025-08-26T12:22:08.633961,cust_4139,cust_4139: I have an issue: missing statement. Urgent,missing statement,medium,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_47,2025-08-25T12:22:08.633961,cust_2702,cust_2702: I have an issue: error on mobile app. Need assistance,error on mobile app,high,"Try clearing app cache or reinstalling the app. If issue persists, send app version and logs."
sup_48,2025-10-20T12:22:08.633961,cust_913,cust_913: I have an issue: deposit not credited. Need assistance,deposit not credited,low,"Deposits normally show within 1-3 business days. If delayed, send transaction reference and we will investigate."
sup_49,2025-08-20T12:22:08.633961,cust_1475,cust_1475: I have an issue: how to reset password. Need assistance,how to reset password,medium,"Please follow the reset link in the app or visit Account > Reset Password. If locked out, use 'Forgot password'."
sup_50,2025-09-15T12:22:08.633961,cust_2475,cust_2475: I have an issue: account locked. Urgent,account locked,low,"We're sorry — your account is locked. Please provide last 4 digits of linked bank to verify, or contact support."
sup_51,2025-10-01T12:22:08.633961,cust_2158,cust_2158: I have an issue: unable to trade. Need assistance,unable to trade,medium,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_52,2025-10-28T12:22:08.633961,cust_1906,cust_1906: I have an issue: account locked. Thanks,account locked,medium,"We're sorry — your account is locked. Please provide last 4 digits of linked bank to verify, or contact support."
sup_53,2025-09-08T12:22:08.633961,cust_2893,cust_2893: I have an issue: refund request. Need assistance,refund request,low,Refunds take 5-7 business days. Provide transaction id and reason for faster processing.
sup_54,2025-08-20T12:22:08.633961,cust_2839,cust_2839: I have an issue: deposit not credited. Thanks,deposit not credited,medium,"Deposits normally show within 1-3 business days. If delayed, send transaction reference and we will investigate."
sup_55,2025-10-09T12:22:08.633961,cust_1259,cust_1259: I have an issue: how to change bank details. Need assistance,how to change bank details,low,Go to Payments > Bank details. Update and complete micro-deposit verification.
sup_56,2025-09-13T12:22:08.633961,cust_2042,cust_2042: I have an issue: account locked. Thanks,account locked,medium,"We're sorry — your account is locked. Please provide last 4 digits of linked bank to verify, or contact support."
sup_57,2025-11-09T12:22:08.633961,cust_4927,cust_4927: I have an issue: account locked. Urgent,account locked,high,"We're sorry — your account is locked. Please provide last 4 digits of linked bank to verify, or contact support."
sup_58,2025-10-29T12:22:08.633961,cust_626,cust_626: I have an issue: missing statement. Thanks,missing statement,low,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_59,2025-11-08T12:22:08.633961,cust_2102,cust_2102: I have an issue: account locked. Need assistance,account locked,low,"We're sorry — your account is locked. Please provide last 4 digits of linked bank to verify, or contact support."
sup_60,2025-09-17T12:22:08.633961,cust_1246,cust_1246: I have an issue: need KYC help. Urgent,need KYC help,low,"To complete KYC, upload ID and address proof. Visit Settings > KYC to upload documents."
sup_61,2025-10-25T12:22:08.633961,cust_3709,cust_3709: I have an issue: account locked. Need assistance,account locked,high,"We're sorry — your account is locked. Please provide last 4 digits of linked bank to verify, or contact support."
sup_62,2025-09-24T12:22:08.633961,cust_955,cust_955: I have an issue: error on mobile app. Urgent,error on mobile app,low,"Try clearing app cache or reinstalling the app. If issue persists, send app version and logs."
sup_63,2025-09-09T12:22:08.633961,cust_1793,cust_1793: I have an issue: error on mobile app. Urgent,error on mobile app,medium,"Try clearing app cache or reinstalling the app. If issue persists, send app version and logs."
sup_64,2025-08-29T12:22:08.633961,cust_1257,cust_1257: I have an issue: how to change bank details. Please help,how to change bank details,low,Go to Payments > Bank details. Update and complete micro-deposit verification.
sup_65,2025-11-03T12:22:08.633961,cust_2518,cust_2518: I have an issue: need KYC help. Please help,need KYC help,low,"To complete KYC, upload ID and address proof. Visit Settings > KYC to upload documents."
sup_66,2025-10-09T12:22:08.633961,cust_3584,cust_3584: I have an issue: refund request. Need assistance,refund request,medium,Refunds take 5-7 business days. Provide transaction id and reason for faster processing.
sup_67,2025-08-22T12:22:08.633961,cust_4495,cust_4495: I have an issue: transaction failed. Need assistance,transaction failed,medium,"Please check error code and retry. If funds were debited, contact support with transaction id."
sup_68,2025-11-04T12:22:08.633961,cust_3633,cust_3633: I have an issue: error on mobile app. Need assistance,error on mobile app,medium,"Try clearing app cache or reinstalling the app. If issue persists, send app version and logs."
sup_69,2025-08-21T12:22:08.633961,cust_2609,cust_2609: I have an issue: need KYC help. Thanks,need KYC help,high,"To complete KYC, upload ID and address proof. Visit Settings > KYC to upload documents."
sup_70,2025-10-10T12:22:08.633961,cust_3418,cust_3418: I have an issue: refund request. Please help,refund request,low,Refunds take 5-7 business days. Provide transaction id and reason for faster processing.
sup_71,2025-10-08T12:22:08.633961,cust_3823,cust_3823: I have an issue: missing statement. Need assistance,missing statement,medium,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_72,2025-09-30T12:22:08.633961,cust_4731,cust_4731: I have an issue: unable to trade. Need assistance,unable to trade,medium,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_73,2025-10-11T12:22:08.633961,cust_4963,cust_4963: I have an issue: error on mobile app. Please help,error on mobile app,low,"Try clearing app cache or reinstalling the app. If issue persists, send app version and logs."
sup_74,2025-10-30T12:22:08.633961,cust_3136,cust_3136: I have an issue: unable to trade. Please help,unable to trade,high,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_75,2025-08-28T12:22:08.633961,cust_897,cust_897: I have an issue: need KYC help. Please help,need KYC help,medium,"To complete KYC, upload ID and address proof. Visit Settings > KYC to upload documents."
sup_76,2025-09-28T12:22:08.633961,cust_3859,cust_3859: I have an issue: error on mobile app. Thanks,error on mobile app,medium,"Try clearing app cache or reinstalling the app. If issue persists, send app version and logs."
sup_77,2025-10-24T12:22:08.633961,cust_2546,cust_2546: I have an issue: how to reset password. Thanks,how to reset password,low,"Please follow the reset link in the app or visit Account > Reset Password. If locked out, use 'Forgot password'."
sup_78,2025-11-13T12:22:08.633961,cust_277,cust_277: I have an issue: refund request. Thanks,refund request,low,Refunds take 5-7 business days. Provide transaction id and reason for faster processing.
sup_79,2025-09-08T12:22:08.633961,cust_4134,cust_4134: I have an issue: need KYC help. Need assistance,need KYC help,low,"To complete KYC, upload ID and address proof. Visit Settings > KYC to upload documents."
sup_80,2025-09-06T12:22:08.633961,cust_746,cust_746: I have an issue: missing statement. Thanks,missing statement,low,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_81,2025-09-16T12:22:08.633961,cust_1272,cust_1272: I have an issue: account locked. Thanks,account locked,low,"We're sorry — your account is locked. Please provide last 4 digits of linked bank to verify, or contact support."
sup_82,2025-09-30T12:22:08.633961,cust_1169,cust_1169: I have an issue: how to reset password. Urgent,how to reset password,low,"Please follow the reset link in the app or visit Account > Reset Password. If locked out, use 'Forgot password'."
sup_83,2025-10-20T12:22:08.633961,cust_3804,cust_3804: I have an issue: need KYC help. Need assistance,need KYC help,low,"To complete KYC, upload ID and address proof. Visit Settings > KYC to upload documents."
sup_84,2025-10-19T12:22:08.633961,cust_2158,cust_2158: I have an issue: how to change bank details. Need assistance,how to change bank details,low,Go to Payments > Bank details. Update and complete micro-deposit verification.
sup_85,2025-11-06T12:22:08.633961,cust_3699,cust_3699: I have an issue: how to change bank details. Urgent,how to change bank details,medium,Go to Payments > Bank details. Update and complete micro-deposit verification.
sup_86,2025-09-03T12:22:08.633961,cust_4,cust_4: I have an issue: refund request. Please help,refund request,medium,Refunds take 5-7 business days. Provide transaction id and reason for faster processing.
sup_87,2025-08-24T12:22:08.633961,cust_1490,cust_1490: I have an issue: how to reset password. Thanks,how to reset password,low,"Please follow the reset link in the app or visit Account > Reset Password. If locked out, use 'Forgot password'."
sup_88,2025-11-04T12:22:08.634972,cust_2765,cust_2765: I have an issue: missing statement. Please help,missing statement,low,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_89,2025-10-11T12:22:08.634972,cust_1425,cust_1425: I have an issue: deposit not credited. Need assistance,deposit not credited,low,"Deposits normally show within 1-3 business days. If delayed, send transaction reference and we will investigate."
sup_90,2025-08-20T12:22:08.634972,cust_2466,cust_2466: I have an issue: error on mobile app. Urgent,error on mobile app,low,"Try clearing app cache or reinstalling the app. If issue persists, send app version and logs."
sup_91,2025-10-15T12:22:08.634972,cust_2417,cust_2417: I have an issue: deposit not credited. Urgent,deposit not credited,low,"Deposits normally show within 1-3 business days. If delayed, send transaction reference and we will investigate."
sup_92,2025-08-31T12:22:08.634972,cust_1870,cust_1870: I have an issue: need KYC help. Urgent,need KYC help,medium,"To complete KYC, upload ID and address proof. Visit Settings > KYC to upload documents."
sup_93,2025-08-15T12:22:08.634972,cust_3266,cust_3266: I have an issue: how to reset password. Thanks,how to reset password,low,"Please follow the reset link in the app or visit Account > Reset Password. If locked out, use 'Forgot password'."
sup_94,2025-11-03T12:22:08.634972,cust_4567,cust_4567: I have an issue: deposit not credited. Please help,deposit not credited,low,"Deposits normally show within 1-3 business days. If delayed, send transaction reference and we will investigate."
sup_95,2025-10-04T12:22:08.634972,cust_3636,cust_3636: I have an issue: missing statement. Thanks,missing statement,medium,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_96,2025-10-19T12:22:08.634972,cust_1558,cust_1558: I have an issue: account locked. Please help,account locked,low,"We're sorry — your account is locked. Please provide last 4 digits of linked bank to verify, or contact support."
sup_97,2025-10-14T12:22:08.634972,cust_2871,cust_2871: I have an issue: account locked. Thanks,account locked,low,"We're sorry — your account is locked. Please provide last 4 digits of linked bank to verify, or contact support."
sup_98,2025-10-03T12:22:08.634972,cust_2479,cust_2479: I have an issue: how to reset password. Need assistance,how to reset password,medium,"Please follow the reset link in the app or visit Account > Reset Password. If locked out, use 'Forgot password'."
sup_99,2025-11-10T12:22:08.634972,cust_42,cust_42: I have an issue: how to change bank details. Need assistance,how to change bank details,low,Go to Payments > Bank details. Update and complete micro-deposit verification.
sup_100,2025-11-11T12:22:08.634972,cust_4886,cust_4886: I have an issue: need KYC help. Please help,need KYC help,high,"To complete KYC, upload ID and address proof. Visit Settings > KYC to upload documents."
sup_101,2025-10-07T12:22:08.634972,cust_1264,cust_1264: I have an issue: missing statement. Please help,missing statement,medium,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_102,2025-11-06T12:22:08.634972,cust_3452,cust_3452: I have an issue: unable to trade. Please help,unable to trade,medium,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_103,2025-10-02T12:22:08.634972,cust_210,cust_210: I have an issue: refund request. Thanks,refund request,low,Refunds take 5-7 business days. Provide transaction id and reason for faster processing.
sup_104,2025-10-03T12:22:08.634972,cust_3866,cust_3866: I have an issue: deposit not credited. Need assistance,deposit not credited,medium,"Deposits normally show within 1-3 business days. If delayed, send transaction reference and we will investigate."
sup_105,2025-10-30T12:22:08.634972,cust_4185,cust_4185: I have an issue: refund request. Urgent,refund request,medium,Refunds take 5-7 business days. Provide transaction id and reason for faster processing.
sup_106,2025-10-02T12:22:08.634972,cust_1845,cust_1845: I have an issue: error on mobile app. Need assistance,error on mobile app,low,"Try clearing app cache or reinstalling the app. If issue persists, send app version and logs."
sup_107,2025-09-22T12:22:08.634972,cust_904,cust_904: I have an issue: refund request. Need assistance,refund request,medium,Refunds take 5-7 business days. Provide transaction id and reason for faster processing.
sup_108,2025-09-12T12:22:08.634972,cust_2926,cust_2926: I have an issue: need KYC help. Thanks,need KYC help,medium,"To complete KYC, upload ID and address proof. Visit Settings > KYC to upload documents."
sup_109,2025-09-01T12:22:08.634972,cust_1512,cust_1512: I have an issue: deposit not credited. Urgent,deposit not credited,low,"Deposits normally show within 1-3 business days. If delayed, send transaction reference and we will investigate."
sup_110,2025-10-24T12:22:08.634972,cust_1326,cust_1326: I have an issue: deposit not credited. Need assistance,deposit not credited,medium,"Deposits normally show within 1-3 business days. If delayed, send transaction reference and we will investigate."
sup_111,2025-09-11T12:22:08.634972,cust_3355,cust_3355: I have an issue: how to reset password. Need assistance,how to reset password,medium,"Please follow the reset link in the app or visit Account > Reset Password. If locked out, use 'Forgot password'."
sup_112,2025-09-19T12:22:08.634972,cust_3288,cust_3288: I have an issue: missing statement. Need assistance,missing statement,low,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_113,2025-08-23T12:22:08.634972,cust_4767,cust_4767: I have an issue: how to change bank details. Need assistance,how to change bank details,medium,Go to Payments > Bank details. Update and complete micro-deposit verification.
sup_114,2025-09-01T12:22:08.634972,cust_3430,cust_3430: I have an issue: unable to trade. Need assistance,unable to trade,low,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_115,2025-08-26T12:22:08.634972,cust_2671,cust_2671: I have an issue: unable to trade. Need assistance,unable to trade,medium,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_116,2025-09-07T12:22:08.634972,cust_1284,cust_1284: I have an issue: transaction failed. Urgent,transaction failed,medium,"Please check error code and retry. If funds were debited, contact support with transaction id."
sup_117,2025-08-24T12:22:08.634972,cust_2709,cust_2709: I have an issue: unable to trade. Please help,unable to trade,low,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_118,2025-09-22T12:22:08.634972,cust_4723,cust_4723: I have an issue: how to reset password. Need assistance,how to reset password,medium,"Please follow the reset link in the app or visit Account > Reset Password. If locked out, use 'Forgot password'."
sup_119,2025-10-30T12:22:08.634972,cust_4764,cust_4764: I have an issue: unable to trade. Please help,unable to trade,high,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_120,2025-10-01T12:22:08.634972,cust_1896,cust_1896: I have an issue: refund request. Please help,refund request,low,Refunds take 5-7 business days. Provide transaction id and reason for faster processing.
sup_121,2025-10-24T12:22:08.634972,cust_3100,cust_3100: I have an issue: account locked. Please help,account locked,low,"We're sorry — your account is locked. Please provide last 4 digits of linked bank to verify, or contact support."
sup_122,2025-09-01T12:22:08.634972,cust_1615,cust_1615: I have an issue: account locked. Need assistance,account locked,low,"We're sorry — your account is locked. Please provide last 4 digits of linked bank to verify, or contact support."
sup_123,2025-10-13T12:22:08.634972,cust_397,cust_397: I have an issue: missing statement. Need assistance,missing statement,low,"Statements are available under Documents > Statements. If missing, tell us the month and year."
sup_124,2025-09-14T12:22:08.634972,cust_3678,cust_3678: I have an issue: how to change bank details. Thanks,how to change bank details,medium,Go to Payments > Bank details. Update and complete micro-deposit verification.
sup_125,2025-09-15T12:22:08.634972,cust_4189,cust_4189: I have an issue: need KYC help. Need assistance,need KYC help,high,"To complete KYC, upload ID and address proof. Visit Settings > KYC to upload documents."
sup_126,2025-10-10T12:22:08.634972,cust_4345,cust_4345: I have an issue: unable to trade. Urgent,unable to trade,medium,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_127,2025-10-24T12:22:08.635969,cust_3272,cust_3272: I have an issue: how to reset password. Need assistance,how to reset password,medium,"Please follow the reset link in the app or visit Account > Reset Password. If locked out, use 'Forgot password'."
sup_128,2025-10-24T12:22:08.635969,cust_1734,cust_1734: I have an issue: unable to trade. Need assistance,unable to trade,low,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_129,2025-09-01T12:22:08.635969,cust_965,cust_965: I have an issue: how to change bank details. Need assistance,how to change bank details,low,Go to Payments > Bank details. Update and complete micro-deposit verification.
sup_130,2025-10-27T12:22:08.635969,cust_2788,cust_2788: I have an issue: unable to trade. Need assistance,unable to trade,low,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_131,2025-10-28T12:22:08.635969,cust_3338,cust_3338: I have an issue: transaction failed. Please help,transaction failed,medium,"Please check error code and retry. If funds were debited, contact support with transaction id."
sup_132,2025-09-21T12:22:08.635969,cust_885,cust_885: I have an issue: how to change bank details. Thanks,how to change bank details,low,Go to Payments > Bank details. Update and complete micro-deposit verification.
sup_133,2025-10-06T12:22:08.635969,cust_3841,cust_3841: I have an issue: error on mobile app. Thanks,error on mobile app,low,"Try clearing app cache or reinstalling the app. If issue persists, send app version and logs."
sup_134,2025-10-29T12:22:08.635969,cust_4724,cust_4724: I have an issue: how to change bank details. Thanks,how to change bank details,low,Go to Payments > Bank details. Update and complete micro-deposit verification.
sup_135,2025-09-10T12:22:08.635969,cust_4147,cust_4147: I have an issue: unable to trade. Urgent,unable to trade,low,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_136,2025-08-16T12:22:08.635969,cust_3422,cust_3422: I have an issue: unable to trade. Need assistance,unable to trade,low,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_137,2025-10-26T12:22:08.635969,cust_155,cust_155: I have an issue: need KYC help. Please help,need KYC help,low,"To complete KYC, upload ID and address proof. Visit Settings > KYC to upload documents."
sup_138,2025-10-03T12:22:08.635969,cust_1819,cust_1819: I have an issue: refund request. Please help,refund request,low,Refunds take 5-7 business days. Provide transaction id and reason for faster processing.
sup_139,2025-08-21T12:22:08.635969,cust_1137,cust_1137: I have an issue: unable to trade. Thanks,unable to trade,high,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_140,2025-11-13T12:22:08.635969,cust_2191,cust_2191: I have an issue: unable to trade. Urgent,unable to trade,low,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_141,2025-10-02T12:22:08.635969,cust_2766,cust_2766: I have an issue: unable to trade. Urgent,unable to trade,low,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_142,2025-10-23T12:22:08.635969,cust_2632,cust_2632: I have an issue: deposit not credited. Urgent,deposit not credited,low,"Deposits normally show within 1-3 business days. If delayed, send transaction reference and we will investigate."
sup_143,2025-08-18T12:22:08.635969,cust_4071,cust_4071: I have an issue: how to reset password. Need assistance,how to reset password,low,"Please follow the reset link in the app or visit Account > Reset Password. If locked out, use 'Forgot password'."
sup_144,2025-09-11T12:22:08.635969,cust_177,cust_177: I have an issue: account locked. Need assistance,account locked,high,"We're sorry — your account is locked. Please provide last 4 digits of linked bank to verify, or contact support."
sup_145,2025-10-26T12:22:08.635969,cust_4518,cust_4518: I have an issue: unable to trade. Need assistance,unable to trade,low,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_146,2025-08-15T12:22:08.635969,cust_1806,cust_1806: I have an issue: how to change bank details. Please help,how to change bank details,high,Go to Payments > Bank details. Update and complete micro-deposit verification.
sup_147,2025-09-15T12:22:08.635969,cust_3690,cust_3690: I have an issue: error on mobile app. Thanks,error on mobile app,high,"Try clearing app cache or reinstalling the app. If issue persists, send app version and logs."
sup_148,2025-08-31T12:22:08.635969,cust_4043,cust_4043: I have an issue: account locked. Urgent,account locked,medium,"We're sorry — your account is locked. Please provide last 4 digits of linked bank to verify, or contact support."
sup_149,2025-10-10T12:22:08.635969,cust_3101,cust_3101: I have an issue: how to reset password. Urgent,how to reset password,medium,"Please follow the reset link in the app or visit Account > Reset Password. If locked out, use 'Forgot password'."
sup_150,2025-08-29T12:22:08.635969,cust_3907,cust_3907: I have an issue: unable to trade. Thanks,unable to trade,low,Trades may be blocked due to insufficient funds or restrictions. Check your balance and ensure KYC is complete.
sup_151,2025-10-08T12:22:08.635969,cust_4196,cust_4196: I have an issue: how to change bank details. Thanks,how to change bank details,low,Go to Payments > Bank details. Update and complete micro-deposit verification.
